company_rating,model_rating,overall_rating,bought_at,months_used,issues_rating,resale_value,output
2,5,30,11892,3,5,5586,0
3,2,36,19421,6,3,6138,0
2,3,0,6362,0,3,4205,1
2,3,48,7157,8,2.5,3348,1
4,3,48,18571,4,2,8867,1
3,3,162,13335,18,2.5,4250,1
3,2,132,13392,22,0,3799,0
4,3.5,168,17389,12,3,10460,1
3,3,72,13095,8,1,8212,1
2,2,68,9163,17,3.5,2739,0
5,2,100,34796,10,2,16911,0
2,2,60,11727,15,3,4948,1
5,4,40,32038,2,2,23228,1
3,2,102,13555,17,0,4321,1
3,3,234,17623,26,1,3659,1
3,4,24,13412,2,0,6255,0
4,3.5,98,19439,7,2,10393,0
2,5,60,8233,6,3.5,3551,0
4,3,132,16513,11,1,8203,0
3,2,102,19032,17,0,5389,0
3,2,174,29662,29,2,1336,0
2,3,18,10016,3,1,6872,1
4,3,192,18820,16,2,10034,1
2,2,40,9060,10,5,3279,1
3,4,36,12133,3,2.5,5923,0
2,2,28,11831,7,0,8172,1
3,3,243,26883,27,1,4312,0
5,3.5,315,20267,18,1,7497,0
3,4,156,22689,13,0,10989,0
3,5,30,19194,2,3,13544,1
2,2,16,9149,4,3,5469,1
4,3.5,252,21153,18,0,11177,1
3,4,168,13528,14,0,5743,1
2,5,100,11554,10,2.5,5402,0
3,4,240,13302,20,2.5,4540,1
5,3.5,437.5,54366,25,2,13627,0
4,3,96,19502,8,1,9254,0
2,3,60,6911,10,4.5,1847,1
5,4,160,24474,8,0,16240,1
3,3,162,11568,18,1,5217,1
3,2,132,13742,22,2.5,3722,1
4,4,272,16115,17,3,11309,1
2,2,24,10759,6,4.5,5218,1
2,3,72,8335,12,2.5,3442,1
3,2,12,11635,2,3,6430,0
4,3,228,22946,19,0,11426,1
5,3,285,20876,19,1,6621,0
3,3,189,9364,21,3,3010,1
2,5,90,7604,9,2.5,3171,1
5,5,425,15778,17,0,7708,1
5,4,420,43595,21,2,13361,0
5,3.5,280,16547,16,0,7445,1
4,3.5,0,18419,0,3,9721,0
2,2,16,10405,4,2.5,6387,1
5,3.5,437.5,24286,25,0,3293,0
4,3.5,28,18056,2,2.5,9314,0
5,2,220,34996,22,2,8315,0
4,3.5,28,17432,2,1,8731,0
3,2,90,12257,15,3,3733,1
3,2,132,12178,22,0,3677,1
3,3,63,15661,7,4,6813,0
4,3.5,154,17290,11,2,9868,1
2,3,30,7699,5,4.5,3295,0
5,4,540,35287,27,0,5664,0
2,2,12,6130,3,3,3546,1
4,3.5,70,20574,5,0,9918,0
3,4,216,13688,18,3,4744,1
5,4,560,50562,28,0,9891,0
5,3.5,297.5,33348,17,1,12139,0
3,5,210,9766,14,3,9194,1
5,3,30,38895,2,2,24594,1
3,2,36,26020,6,2,7377,0
2,5,60,9486,6,1,5510,1
2,2,16,6863,4,0,5297,1
4,4,224,19085,14,2.5,12041,1
2,5,80,10549,8,5,3844,0
5,3.5,420,20171,24,1,3150,0
4,3.5,252,22772,18,0,11878,1
5,3,30,38395,2,1,23771,0
2,5,150,10587,15,2.5,3814,1
4,3.5,98,19627,7,2,10817,1
3,2,12,13656,2,2,7405,0
3,4,288,15531,24,1,6510,1
2,2,12,7240,3,3.5,4194,1
5,2,220,39147,22,1,9064,0
2,3,60,10807,10,2.5,5138,1
3,4,288,21130,24,1,6907,0
2,2,8,7333,2,3,4527,1
3,5,210,12348,14,2,10571,1
2,2,16,10473,4,5,5061,0
4,3.5,126,21868,9,0,10710,0
5,2,230,30061,23,1,5575,0
4,3.5,56,19730,4,2.5,10606,0
5,3.5,227.5,41532,13,2,17862,0
4,3,84,15073,7,3,8166,1
2,5,90,10112,9,1,5501,1
3,5,360,29337,24,3.5,8007,0
5,5,725,18934,29,2,958,0
3,3,243,27236,27,1,4373,0
3,4,216,13062,18,1,5152,1
3,3,252,13804,28,0,4228,1
3,4,84,12916,7,1,5457,0
2,2,68,6413,17,0,3019,1
3,4,204,24667,17,0,9798,0
3,4,312,12701,26,3,4368,1
3,3,144,29304,16,3,6503,0
3,2,24,13821,4,2.5,4671,0
3,3,99,13832,11,0,5352,0
3,4,228,27341,19,2,8215,0
3,3,0,12214,0,3,5198,0
4,4,128,21745,8,1,11839,0
4,4,32,16241,2,2,9484,0
2,2,52,6576,13,2.5,2377,1
3,2,36,11429,6,3.5,4997,0
3,4,324,22241,27,4,3986,0
2,2,44,9048,11,0,5631,1
4,3.5,42,16798,3,2.5,9105,0
3,3,171,22157,19,3.5,4349,0
4,4,240,18308,15,0,10764,1
2,3,12,6508,2,3,3916,1
5,3.5,87.5,38196,5,1,22290,0
4,4,48,15989,3,2.5,9870,1
3,3,198,12693,22,2.5,3921,1
4,3,96,19077,8,2.5,9934,1
2,3,66,8208,11,4.5,2618,1
2,2,52,6472,13,3,2276,1
